tên đường,bắt đầu,kết thúc,giá đất ở v1,giá đất ở v2,giá đất ở v3,giá đất ở v4,giá đất thương mai v1,giá đất thương mại v2,giá đất thương mại v3,giá đất thương mại v4,giá đất kinh doanh phi nông nghiệp v1,giá đất kinh doanh phi nông nghiệp v2,giá đất kinh doanh phi nông nghiệp v3,giá đất kinh doanh phi nông nghiệp v4,quận
yen duyen,Ngã ba ngõ 885 đường Tam Trinh,Số301tổ14rađườngYênSở,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
yen so,Đầu đường,Cuốiđường,21850,12673,10488,9396,13547,7857,6799,5856,10589,7412,6516,5612,hoang mai
dinh quan,Đầu đường,Đầu đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
do nhuan,Đầu đường,Đầu đường,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,bac tu liem
70,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,14950,9568,8410,7326,9269,5932,5214,4542,7636,5345,4963,4247,bac tu liem
an vuong (dia ban quan bac tu liem),Trong đê,Trong đê,33063,18846,15539,13886,20499,11684,9634,8609,12626,8126,7006,6232,bac tu liem
an vuong (dia ban quan bac tu liem),Ngoài đê,Ngoài đê,28750,16388,13513,12075,17825,10160,8378,7487,10979,7066,6092,5419,bac tu liem
cau dien (quoc lo 32),Cầu Diễn,Cầu Diễn,33640,18838,15474,13792,20857,11680,9594,8551,17254,10271,8627,7723,bac tu liem
cau dien (quoc lo 32),Đường sắt,Đường sắt,30160,16890,13874,12366,18699,10472,8602,7667,14789,9202,7723,6984,bac tu liem
cau dien (quoc lo 32),Văn Tiến Dũng,Văn Tiến Dũng,23200,13224,11136,9744,14384,8199,6904,6041,10681,7476,6573,5661,bac tu liem
co nhue,Đầu đường,Đầu đường,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,bac tu liem
dang thuy tram,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,29900,16744,13754,12259,18538,10381,8527,7601,15477,9448,7901,7168,bac tu liem
dong ngac,Đầu đường,Đầu đường,21160,12484,10368,9310,13119,7740,6428,5772,9775,6883,6150,5279,bac tu liem
duc dien,Đầu đường,Đầu đường,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,bac tu liem
duc thang,Đầu đường,Đầu đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
lien mac (dau den cuoi duong),Trong đê,Trong đê,17538,11399,9936,8769,10873,7068,6160,5437,7331,5279,4692,4032,bac tu liem
lien mac (dau den cuoi duong),Ngoài đê,Ngoài đê,15250,9913,8640,7625,9455,6146,5357,4728,6375,4590,4080,3506,bac tu liem
phu dien,Đường Cầu Diễn,Đường Cầu Diễn,23000,13110,11040,9660,14260,8128,6845,5989,10589,7412,6516,5612,bac tu liem
phu minh,Đầu đường,Đầu đường,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,bac tu liem
phu minh di yen noi,Phú Minh,Phú Minh,10810,7351,6270,5729,6702,4557,3887,3552,5702,3934,3176,2737,bac tu liem
phuc dien,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,23000,13110,11040,9660,14260,8128,6845,5989,10589,7412,6516,5612,bac tu liem
quoc lo 32,Nhổn,Nhổn,19952,11971,10510,8978,12370,7422,6516,5567,9038,6409,5784,4971,bac tu liem
sung khang,"Ngã ba giao cắt đường Tây Tựu, Kỳ Vũ","Ngã ba giao cắt đường Tây Tựu, Kỳ Vũ",10440,7099,6055,5533,6473,4402,3754,3431,5341,3739,2975,2564,bac tu liem
tan nhue,Đầu đường,Đầu đường,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,bac tu liem
tay tuu,Đầu đường,Đầu đường,14950,9568,8410,7326,9269,5932,5214,4542,7636,5345,4963,4247,bac tu liem
thuong cat,Trong đê,Trong đê,14175,9639,8222,7513,8789,5976,5097,4658,5751,3968,3204,2761,bac tu liem
thuong cat,Ngoài đê,Ngoài đê,12220,8310,7088,6477,7576,5152,4394,4015,4958,3421,2762,2380,bac tu liem
thuy phuong - thuong cat,Cống Liên Mạc,Cống Liên Mạc,8584,6009,5150,4721,5322,3725,3436,3150,4382,3199,2728,2350,bac tu liem
thuy phuong,Trong đê,Trong đê,17538,11399,9936,8769,10873,7068,6160,5437,7331,5279,4692,4032,bac tu liem
thuy phuong,Ngoài đê,Ngoài đê,15250,9913,8640,7625,9455,6146,5357,4728,6375,4590,4080,3506,bac tu liem
tu co nhue den hoc vien canh sat,Cổ Nhuế,Học viện Cảnh sát,16560,10433,8777,7949,10267,6468,5573,4928,8349,5926,5341,4593,bac tu liem
tu hoc vien cs di 70,Học viện Cảnh sát,Đường 70,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,bac tu liem
tu pham van dong den vanh khuyen,Phạm Văn Đồng,Đường Vành khuyên,23000,13110,11040,9660,14260,8128,6845,5989,10589,7412,6516,5612,bac tu liem
tu trai ga di hoc vien canh sat,Sông Pheo,Đường từ học viện cảnh sát đi đường 70,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,bac tu liem
van tien dung,Đầu đường,Cuối đường,19780,11868,10419,8942,12264,7358,6460,5544,8960,6354,5734,4928,bac tu liem
vanh khuyen,Nút giao thông Nam cầu Thăng Long,Nút giao thông Nam cầu Thăng Long,23000,13110,11040,9660,14260,8128,6845,5989,10589,7412,6516,5612,bac tu liem
vao trai ga,Ga Phú Diễn,Sông Pheo,16560,10433,8777,7949,10267,6468,5573,4928,8349,5926,5341,4593,bac tu liem
vo quy huan,Đầu đường,Cuối đường,17250,10764,9715,8349,10695,6674,6023,5176,8553,6069,5468,4705,bac tu liem
xuan la - xuan dinh,Phạm Văn Đồng,Giáp quận Tây Hồ,27840,15869,13085,11693,17261,9839,8113,7250,13146,8381,7230,6409,bac tu liem
yen noi,Đầu đường,Cuối đường,10440,7099,6055,5533,6473,4402,3754,3431,5341,3739,2975,2564,bac tu liem
ho tung mau,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,37120,20416,16704,14848,23014,12658,10356,9206,18898,10927,9202,8216,bac tu liem
hoang cong chat,Đầu đường,Cuối đường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,bac tu liem
hoang quoc viet,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,42920,23177,18885,16739,26610,14370,11709,10378,22184,12571,10353,9202,bac tu liem
hoang tang bi,Đầu đường,Cuối đường,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,bac tu liem
ke ve,Đầu đường,Cuối đường,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,bac tu liem
le van hien,Đầu đường,Cuối đường,17250,10764,9715,8349,10695,6674,6023,5176,8553,6069,5468,4705,bac tu liem
nguyen dinh tu,Đầu đường,Cuối đường,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,bac tu liem
nguyen hoang ton,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,27600,15732,12972,11592,17112,9754,8043,7187,13033,8309,7168,6354,bac tu liem
nguyen xa,Đầu đường,Cuối đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
nhat tao,Đầu đường,Cuối đường,14030,9120,7949,7015,8699,5654,4928,4349,7331,5279,4692,4032,bac tu liem
pham tuan tai,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,29900,16744,13754,12259,18538,10381,8527,7601,15477,9448,7901,7168,bac tu liem
pham van dong,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,38280,21054,17226,15312,23734,13053,10680,9493,19719,11338,9408,8381,bac tu liem
phan ba vanh,Hoàng Công Chất,Giáp phường Cổ Nhuế,27600,15732,12972,11592,17112,9754,8043,7187,13033,8309,7168,6354,bac tu liem
phan ba vanh,Địa phận phường Cổ Nhuế,Địa phận phường Cổ Nhuế,25300,14421,11891,10626,15686,8941,7372,6588,12218,7942,6843,6109,bac tu liem
chau dai,Đầu đường,Cuối đường,9744,6723,5749,5262,6041,4168,3564,3262,4930,3401,2662,2366,bac tu liem
dam,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,bac tu liem
hoang lien,Đầu đường,Cuối đường,10440,7099,6055,5533,6473,4402,3754,3431,5341,3739,2975,2564,bac tu liem
kieu mai,Đầu đường,Cuối đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
ky vu,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,bac tu liem
loc,Đầu đường,Cuối đường,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,bac tu liem
mac xa,Đầu đường,Cuối đường,12528,8394,7141,6452,7767,5204,4427,4000,6573,4536,3739,3286,bac tu liem
ngoa long,Đầu đường,Cuối đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
phu kieu,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,bac tu liem
phuc minh,Đầu đường,Cuối đường,14950,9568,8410,7326,9269,5932,5214,4542,7636,5345,4963,4247,bac tu liem
tay dam,Đầu đường,Cuối đường,14030,9120,7717,7015,8699,5654,4896,4349,7331,5279,4692,4032,bac tu liem
thanh lam,Đầu đường,Cuối đường,14950,9568,8410,7326,9269,5932,5214,4542,7636,5345,4963,4247,bac tu liem
trung tuu,Đầu đường,Cuối đường,12528,8394,7141,6452,7767,5204,4427,4000,6573,4536,3739,3286,bac tu liem
van tri,Đầu đường,Cuối đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
vien,Đầu đường,Cuối đường,12528,8394,7141,6515,7767,5204,4427,4039,6573,4536,3739,3286,bac tu liem
tan dan,Đầu đường,Cuối đường,13800,9120,7717,7015,8556,5654,4896,4349,7331,5279,4692,4032,bac tu liem
tan phong,Đầu đường,Cuối đường,10904,7415,6324,5779,6760,4597,3921,3583,5751,3968,3204,2761,bac tu liem
tan xuan,Đầu đường,Cuối đường,24150,13766,11351,10143,14973,8535,7037,6289,11403,7697,6679,5929,bac tu liem
ton quang phiet,Đầu đường,Cuối đường,31320,17539,14407,12841,19418,10874,8932,7962,15611,9531,7969,7230,bac tu liem
tran cung,Địa bàn quận Bắc Từ Liêm,Địa bàn quận Bắc Từ Liêm,29900,16744,13754,12259,18538,10381,8527,7601,14661,9123,7657,6924,bac tu liem
trung kien,Đầu đường,Cuối đường,14950,9568,8410,7326,9269,5932,5214,4542,7636,5345,4963,4247,bac tu liem
van hoi,Đầu đường,Cuối đường,15870,10157,8570,7776,9839,6297,5507,4821,8248,5855,5277,4537,bac tu liem
an,Đầu đường,Cuối đường,30160,16890,13874,12366,18699,10472,8602,7667,15611,9531,7969,7230,tay ho
an vuong,Đầu đường (trong đê),Cuối đường (trong đê),29000,16240,13340,11890,17980,10069,8271,7372,13968,8792,7476,6737,tay ho
an vuong,Đầu đường (ngoài đê),Cuối đường (ngoài đê),24360,13885,11414,10134,15103,8609,7077,6283,11503,7764,6737,5981,tay ho
au co,Đầu đường (trong đê),Cuối đường (trong đê),34800,19140,15660,13920,21576,11867,9709,8630,18076,10599,8874,7969,tay ho
au co,Đầu đường (ngoài đê),Cuối đường (ngoài đê),32480,18189,14941,13317,20138,11277,9263,8256,16433,9860,8299,7476,tay ho
bui trang chuoc,Đầu đường,Cuối đường,22000,12540,10080,9000,13640,7775,6250,5580,12100,6897,5544,4950,tay ho
dang thai mai,Xuân Diệu,Quảng An,40250,21735,17710,15698,24955,13476,10980,9732,20363,11648,9612,8553,tay ho
doc tam da,Đầu đường,Cuối đường,31360,17562,14426,12858,19443,10888,8944,7972,15866,9520,8012,7218,tay ho
dong co,Đầu đường,Cuối đường,25000,14000,11500,10250,15500,8680,7130,6355,13750,7700,6325,5638,tay ho
vao cong vien nuoc ho tay,Lạc Long Quân,Âu Cơ,31360,17562,14426,12858,19443,10888,8944,7972,15866,9520,8012,7218,tay ho
hoang hoa tham,Mai Xuân Thưởng,Dốc Tam Đa,58000,29580,23780,20880,35960,18340,14744,12946,29579,15199,12406,10440,tay ho
hoang hoa tham,Dốc Tam Đa,Đường Bưởi,45240,24430,19906,17644,28049,15146,12341,10939,23005,12899,10599,9448,tay ho
hoang quoc viet,Địa bàn quận Tây Hồ,Địa bàn quận Tây Hồ,45240,24430,19906,17644,28049,15146,12341,10939,23005,12899,10599,9448,tay ho
lac long quan,Địa phận quận Tây Hồ,Địa phận quận Tây Hồ,41760,22550,18374,16286,25891,13981,11392,10098,21363,12160,10024,8915,tay ho
mai xuan thuong,Địa phận quận Tây Hồ,Địa phận quận Tây Hồ,60480,30845,24797,21773,37498,19124,15374,13499,30145,15073,12454,10233,tay ho
nghi tam (duong gom chan de),Cuối đường (trong đê),Cuối đường (trong đê),40600,21924,17864,15834,25172,13593,11076,9817,20540,11750,9695,8627,tay ho
nghi tam (duong gom chan de),Cuối đường (ngoài đê),Cuối đường (ngoài đê),33640,18838,15474,13792,20857,11680,9594,8551,17254,10271,8627,7723,tay ho
nguyen dinh thi,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
nguyen hoang ton,Địa phận quận Tây Hồ,Địa phận quận Tây Hồ,28750,16100,13225,11788,17825,9982,8200,7308,13847,8716,7412,6679,tay ho
nhat chieu,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
phu gia,Cuối đường,Cuối đường,29000,16240,13340,11890,17980,10069,8271,7372,13968,8792,7476,6737,tay ho
phu thuong,Cuối đường,Cuối đường,29000,16240,13340,11890,17980,10069,8271,7372,13968,8792,7476,6737,tay ho
phu xa,Cuối đường,Cuối đường,25520,14546,11693,10440,15822,9019,7250,6473,12324,8011,6902,6162,tay ho
phuc hoa,Cuối đường,Cuối đường,25520,14546,11693,10440,15822,9019,7250,6473,12324,8011,6902,6162,tay ho
quang an,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
quang ba,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
quang khanh,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
tay ho,Cuối đường,Cuối đường,36960,20328,16632,14784,22915,12603,10312,9166,19039,10947,9083,8092,tay ho
thanh nien,Địa phận quận Tây Hồ,Địa phận quận Tây Hồ,78400,38416,30576,26656,48608,23818,18957,16527,36492,16579,13502,11344,tay ho
thuong thuy,Cuối đường,Cuối đường,28750,16100,13225,11788,17825,9982,8200,7308,13847,8716,7412,6679,tay ho
thuy khue,Dốc Tam Đa,Dốc Tam Đa,53360,27747,22411,19743,33083,17203,13895,12241,27114,14378,11667,10106,tay ho
thuy khue,Cuối đường,Cuối đường,45240,24430,19906,17644,28049,15146,12341,10939,23005,12899,10599,9448,tay ho
to ngoc van,Cuối đường,Cuối đường,40250,21735,17710,15698,24955,13476,10980,9732,20363,11648,9612,8553,tay ho
trich sai,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
trinh cong son,Cuối đường,Cuối đường,32200,18032,14812,13202,19964,11180,9183,8185,16291,9775,8227,7412,tay ho
tu hoa,Cuối đường,Cuối đường,37950,20873,17078,15180,23529,12941,10588,9412,19549,11240,9327,8309,tay ho
van cao,Địa bàn quận Tây Hồ,Địa bàn quận Tây Hồ,78880,39440,31552,27608,48906,24453,19562,17117,36974,16946,13863,11565,tay ho
ve ho,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
vo chi cong,Địa bàn quận Tây Hồ,Địa bàn quận Tây Hồ,41760,22550,18374,16286,25891,13981,11392,10098,21363,12160,10024,8915,tay ho
vong thi,Cuối đường,Cuối đường,28750,16100,13225,11788,17825,9982,8200,7308,13847,8716,7412,6679,tay ho
vu mien,Cuối đường,Cuối đường,39000,21060,17160,15210,24180,13057,10639,9430,21450,11583,9438,8366,tay ho
xuan dieu,Cuối đường,Cuối đường,48300,25599,20769,18354,29946,15871,12877,11379,24436,13440,10996,9652,tay ho
xuan la,Cuối đường,Cuối đường,26450,15077,12432,11109,16399,9347,7708,6888,13033,8309,7168,6354,tay ho
yen hoa,Cuối đường,Cuối đường,44850,24219,19734,17492,27807,15016,12235,10845,22807,12788,10508,9367,tay ho
yen phu,Địa bàn quận Tây Hồ,Địa bàn quận Tây Hồ,49450,26209,21264,18791,30659,16249,13183,11650,26066,14010,11384,9897,tay ho
au trieu,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
ba trieu,Hàng Khay,Trần Hưng Đạo,125440,58957,46413,40141,81536,38322,30168,26092,51564,23204,18048,15469,hoan kiem
ba trieu,Trần Hưng Đạo,Nguyễn Du,103040,49459,39155,34003,66976,32148,25451,22102,45218,20348,15827,13565,hoan kiem
bach dang,Hàm Tử Quan,Vạn Kiếp,36300,19965,16335,14520,23595,12977,10618,9438,17141,10285,8656,7798,hoan kiem
bao khanh,Đầu đường,Cuối đường,105800,50784,40204,34914,68770,33010,26133,22694,46429,20893,16251,13929,hoan kiem
bao linh,Đầu đường,Cuối đường,34800,19140,15660,13920,22620,12441,10179,9048,16433,9860,8299,7476,hoan kiem
bat dan,Đầu đường,Cuối đường,92000,44620,35420,30820,59800,29003,23023,20033,41541,18693,14539,12463,hoan kiem
bat su,Đầu đường,Cuối đường,92000,44620,35420,30820,59800,29003,23023,20033,41541,18693,14539,12463,hoan kiem
cam chi,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
cao thang,Đầu đường,Cuối đường,88160,43198,34382,29974,57304,28079,22349,19483,40260,18219,14296,12243,hoan kiem
cau dat,Đầu đường,Cuối đường,45240,24430,19906,17644,29406,15879,12939,11468,23005,12899,10599,9448,hoan kiem
cau dong,Đầu đường,Cuối đường,101200,49082,38962,33902,65780,31903,25325,22036,44799,20160,15680,13440,hoan kiem
cau go,Đầu đường,Cuối đường,117300,55718,43988,38123,76245,36216,28592,24780,50501,22725,17676,15150,hoan kiem
cha ca,Đầu đường,Cuối đường,105800,50784,40204,34914,68770,33010,26133,22694,46429,20893,16251,13929,hoan kiem
chan cam,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
cho gao,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
chuong do,Đầu đường,Cuối đường,47190,25483,20764,18404,30674,16564,13496,11963,23997,13455,11056,9855,hoan kiem
co tan,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
cong duc,Đầu đường,Cuối đường,54520,28350,22898,20172,35438,18428,14884,13112,27935,14726,11962,10251,hoan kiem
cua dong,Đầu đường,Cuối đường,101200,49082,38962,33902,65780,31903,25325,22036,44799,20160,15680,13440,hoan kiem
cua nam,Đầu đường,Cuối đường,105800,50784,40204,34914,68770,33010,26133,22694,46429,20893,16251,13929,hoan kiem
da tuong,Đầu đường,Cuối đường,85840,42062,33478,29186,55796,27340,21760,18971,39438,17952,14215,12160,hoan kiem
dang thai than,Đầu đường,Cuối đường,69000,34500,27600,24150,44850,22425,17940,15698,33396,16046,13195,11037,hoan kiem
dao duy tu,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
dinh cong trang,Đầu đường,Cuối đường,54050,28106,22701,19999,35133,18269,14756,12999,27694,14599,11859,10163,hoan kiem
dinh le,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
dinh liet,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
dinh ngang,Đầu đường,Cuối đường,85840,42062,33478,29186,55796,27340,21760,18971,39438,17952,14215,12160,hoan kiem
dinh tien hoang,Đầu đường,Cuối đường,139200,64728,50808,43848,90480,42073,33025,28501,55049,24772,19268,16515,hoan kiem
dong thai,Đầu đường,Cuối đường,49450,26209,21264,18791,32143,17036,13821,12214,25251,13766,11200,9775,hoan kiem
dong xuan,Đầu đường,Cuối đường,128800,60536,47656,41216,83720,39348,30976,26790,52945,23826,18531,15884,hoan kiem
thanh,Đầu đường,Cuối đường,97440,47258,37514,32642,63336,30718,24384,21218,43546,19596,15199,13064,hoan kiem
gam cau,Đầu đường,Cuối đường,62100,31671,25461,22356,40365,20586,16550,14531,30952,15477,12788,10508,hoan kiem
gia ngu,Đầu đường,Cuối đường,92000,44620,35420,30820,59800,29003,23023,20033,41541,18693,14539,12463,hoan kiem
ha trung,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hai ba trung,Lê Thánh Tông,Quán Sứ,128800,60536,47656,41216,83720,39348,30976,26790,52945,23826,18531,15884,hoan kiem
hai ba trung,Quán Sứ,Lê Duẩn,110400,52992,41952,36432,71760,34445,27269,23681,48057,21626,16820,14418,hoan kiem
ham long,Đầu đường,Cuối đường,95120,46133,36621,31865,61828,29987,23804,20712,42724,19226,14954,12817,hoan kiem
ham tu quan,Đầu đường,Cuối đường,47190,25483,20764,18404,30674,16564,13496,11963,23997,13455,11056,9855,hoan kiem
hang bac,Đầu đường,Cuối đường,118320,56202,44370,38454,76908,36531,28841,24995,50940,22923,17829,15282,hoan kiem
hang bai,Đầu đường,Cuối đường,125440,58957,46413,40141,81536,38322,30168,26092,51564,23204,18048,15469,hoan kiem
hang be,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang bo,Đầu đường,Cuối đường,101200,49082,38962,33902,65780,31903,25325,22036,44799,20160,15680,13440,hoan kiem
hang bong,Đầu đường,Cuối đường,134560,63243,49787,43059,87464,41108,32362,27988,53816,24217,18836,16145,hoan kiem
hang buom,Đầu đường,Cuối đường,116000,55100,43500,37700,75400,35815,28275,24505,50119,22554,17542,15036,hoan kiem
hang but,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
hang ca,Đầu đường,Cuối đường,95120,46133,36621,31865,61828,29987,23804,20712,42724,19226,14954,12817,hoan kiem
hang can,Đầu đường,Cuối đường,116000,55100,43500,37700,75400,35815,28275,24505,50119,22554,17542,15036,hoan kiem
hang chai,Đầu đường,Cuối đường,53360,27747,22411,19743,34684,18036,14567,12833,27114,14378,11667,10106,hoan kiem
hang chi,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
hang chieu,Hàng Đường,Đào Duy Từ,116000,55100,43500,37700,75400,35815,28275,24505,50119,22554,17542,15036,hoan kiem
hang chieu,Đào Duy Từ,Trần Nhật Duật,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hang chinh,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
hang cot,Đầu đường,Cuối đường,97440,47258,37514,32642,63336,30718,24384,21218,43546,19596,15199,13064,hoan kiem
hang da,Đầu đường,Cuối đường,109040,52339,41435,35983,70876,34020,26933,23389,47654,21445,16678,14296,hoan kiem
hang dao,Đầu đường,Cuối đường,187920,84564,65772,56376,122148,54967,42752,36644,55460,24957,19411,16639,hoan kiem
hang dau,Đầu đường,Cuối đường,116000,55100,43500,37700,75400,35815,28275,24505,50119,22554,17542,15036,hoan kiem
hang dau,Đầu đường,Cuối đường,94300,45736,36306,31591,61295,29728,23599,20534,42356,19060,14825,12706,hoan kiem
hang dieu,Đầu đường,Cuối đường,115000,54625,43125,37375,74750,35506,28031,24294,49687,22359,17390,14906,hoan kiem
hang dong,Đầu đường,Cuối đường,101200,49082,38962,33902,65780,31903,25325,22036,44799,20160,15680,13440,hoan kiem
hang,Đầu đường,Cuối đường,139200,64728,50808,43848,90480,42073,33025,28501,55049,24772,19268,16515,hoan kiem
hang ga,Đầu đường,Cuối đường,97440,47258,37514,32642,63336,30718,24384,21218,43546,19596,15199,13064,hoan kiem
hang gai,Đầu đường,Cuối đường,139200,64728,50808,43848,90480,42073,33025,28501,55049,24772,19268,16515,hoan kiem
hang giay,Đầu đường,Cuối đường,118320,56202,44370,38454,76908,36531,28841,24995,50940,22923,17829,15282,hoan kiem
hang giay,Đầu đường,Cuối đường,69600,34800,27840,24360,45240,22620,18096,15834,33686,16185,13310,11133,hoan kiem
hang hom,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang khay,Đầu đường,Cuối đường,134560,63243,49787,43059,87464,41108,32362,27988,53816,24217,18836,16145,hoan kiem
hang khoai,Đầu đường,Cuối đường,118320,56202,44370,38454,76908,36531,28841,24995,50940,22923,17829,15282,hoan kiem
hang luoc,Đầu đường,Cuối đường,106720,51226,40554,35218,69368,33297,26360,22891,46833,21075,16392,14050,hoan kiem
hang ma,Phùng Hưng,Hàng Lược,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hang ma,Hàng Lược,Đồng Xuân,134560,63243,49787,43059,87464,41108,32362,27988,53816,24217,18836,16145,hoan kiem
hang mam,Đầu đường,Cuối đường,85840,42062,33478,29186,55796,27340,21760,18971,39438,17952,14215,12160,hoan kiem
hang manh,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang muoi,Đầu đường,Cuối đường,85840,42062,33478,29186,55796,27340,21760,18971,39438,17952,14215,12160,hoan kiem
hang ngang,Đầu đường,Cuối đường,187920,84564,65772,56376,122148,54967,42752,36644,55460,24957,19411,16639,hoan kiem
hang non,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang phen,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hang quat,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang ruoi,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hang thiec,Đầu đường,Cuối đường,102080,49509,39301,34197,66352,32181,25546,22228,45189,20335,15817,13557,hoan kiem
hang thung,Đầu đường,Cuối đường,76560,38280,30624,26796,49764,24882,19906,17417,36151,16720,13741,11380,hoan kiem
hang tre,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
hang trong,Đầu đường,Cuối đường,118320,56202,44370,38454,76908,36531,28841,24995,50940,22923,17829,15282,hoan kiem
hang vai,Đầu đường,Cuối đường,88160,43198,34382,29974,57304,28079,22349,19483,40260,18219,14296,12243,hoan kiem
hang voi,Đầu đường,Cuối đường,92800,45008,35728,31088,60320,29255,23223,20207,41903,18856,14666,12571,hoan kiem
ho hoan kiem,Đầu đường,Cuối đường,134560,63243,49787,43059,87464,41108,32362,27988,53816,24217,18836,16145,hoan kiem
